   -0.199504822492599487E+02    0.209690839052200317E+01   -0.198905837535858154E+02    0.194203209877014160E+01   -0.507403146405307962E+04   -0.690775511231546968E+01    1
   -0.194062131643295288E+02    0.176902246475219727E+01   -0.193504977226257324E+02    0.127186280488967896E+01   -0.507403146346019821E+04   -0.690875511231548245E+01    1
   -0.199241536855697632E+02    0.788020372390747070E+00   -0.194655662775039673E+02    0.321847945451736450E+01   -0.507403146177137114E+04   -0.690975511231547301E+01    1
   -0.197664082050323486E+02    0.336380153894424438E+01   -0.188541513681411743E+02    0.121462100744247437E+01   -0.507403146098016623E+04   -0.691075511231547601E+01    1
   -0.193533927202224731E+02    0.323733335733413696E+01   -0.197933208942413330E+02    0.757970452308654785E+00   -0.507403145976457017E+04   -0.691175511231546658E+01    1
   -0.189383256435394287E+02    0.720807552337646484E+00   -0.192450952529907227E+02    0.298718953132629395E+01   -0.507403145842244794E+04   -0.691275511231547579E+01    1
   -0.195421564579010010E+02    0.325464308261871338E+01   -0.191190826892852783E+02    0.303543204069137573E+01   -0.507403145335844329E+04   -0.691375511231547435E+01    1
   -0.192937105894088745E+02    0.360138916969299316E+01   -0.186544322967529297E+02    0.282166087627410889E+01   -0.507403139898741119E+04   -0.691475511231548357E+01    1
   -0.194120454788208008E+02    0.710584521293640137E-01   -0.196637660264968872E+02    0.600243335962295532E+01   -0.507403139182019549E+04   -0.691575511231552209E+01    1
   -0.191093194484710693E+02    0.437659132480621338E+01   -0.186269938945770264E+02    0.967890143394470215E+00   -0.507403138336881057E+04   -0.691675511231554463E+01    1
   -0.182614916563034058E+02    0.160839504003524780E+01   -0.197441244125366211E+02    0.505397498607635498E+01   -0.507403138331225546E+04   -0.691775511231549967E+01    1
   -0.189854860305786133E+02    0.129142016172409058E+01   -0.178775167465209961E+02    0.398575127124786377E+00   -0.507403138104153095E+04   -0.691875511231549378E+01    1
   -0.191693794727325439E+02    0.455787175893783569E+01   -0.191171479225158691E+02    0.325357663631439209E+01   -0.507403137560898904E+04   -0.691975511231551454E+01    1
