    0.479824008566105409E+00   -0.128426110842571486E+02    0.555608408887145799E+01    0.175169744763802191E+04
    0.567671655271475117E+00   -0.133549703447145767E+02    0.588134141885993778E+01    0.175243956276625886E+04
    0.541111054887701837E+00   -0.131580964920299106E+02    0.298745598553449465E+01    0.175282307827774343E+04
    0.507887910488029837E+00   -0.136373630346629398E+02    0.525393874892096679E+01    0.175328859125219674E+04
    0.443460147338096577E+00   -0.135666335118723644E+02    0.479114644213430374E+01    0.175336347716004047E+04
    0.536931119628842879E+00   -0.131767296697207854E+02    0.309255839439350932E+01    0.175341458326751035E+04
    0.490999097219604108E+00   -0.134387517903006284E+02    0.397644679905321086E+01    0.175373010160063154E+04
    0.562635133901797202E+00   -0.132975334624839157E+02    0.476331491450298650E+01    0.175384814931010169E+04
    0.523048756082514776E+00   -0.135982008151431994E+02    0.532375642386412995E+01    0.175397701875014241E+04
    0.464657386315941556E+00   -0.130875576051167126E+02    0.260812653341576350E+01    0.175414125623814766E+04
    0.520269158670607634E+00   -0.129361270932210122E+02    0.348573179875934747E+01    0.175438503987377226E+04
    0.455487367084107531E+00   -0.130270043160688331E+02    0.569013155563394246E+01    0.175453301985700068E+04
    0.552845630189174653E+00   -0.132780612205774364E+02    0.493975814914808087E+01    0.175458052167727146E+04
    0.450983330591482989E+00   -0.129512649471955790E+02    0.518179607135449416E+01    0.175459701675406473E+04
    0.503075847440798807E+00   -0.137159688008267562E+02    0.672457311734901175E+01    0.175470745354094629E+04
    0.461504076953436870E+00   -0.135111265004181114E+02    0.457918164026846597E+01    0.175472269543553512E+04
    0.413103602373678713E+00   -0.134398279446127624E+02    0.475305854975494491E+01    0.175478302744703501E+04
    0.410224068499724481E+00   -0.134220273503556555E+02    0.473353039419941979E+01    0.175482851416456856E+04
    0.444052176652486530E+00   -0.130946800045915683E+02    0.276664020254552590E+01    0.175486654124561437E+04
    0.510534925140895046E+00   -0.136636432499344291E+02    0.659666023093361531E+01    0.175506163451651992E+04
    0.512707123850277169E+00   -0.131581745534350176E+02    0.567787275482385034E+01    0.175510364379651082E+04
    0.433480116873380172E+00   -0.133438645784536600E+02    0.379745551363243505E+01    0.175515083527039565E+04
    0.540851424968274763E+00   -0.134087576693899013E+02    0.546139424389336892E+01    0.175518057023160691E+04
    0.470961416558781210E+00   -0.136973870026457760E+02    0.656808750790361273E+01    0.175526371777619829E+04
    0.511418041959228908E+00   -0.130232520721285070E+02    0.482514705976982761E+01    0.175531369894745740E+04
    0.523472718631853517E+00   -0.134265704517388702E+02    0.631096015719997805E+01    0.175533664586374812E+04
    0.426521109331869708E+00   -0.135407287251145299E+02    0.587964687962645183E+01    0.175536939831521613E+04
    0.399193076382792889E+00   -0.131238417484291237E+02    0.358647149550239019E+01    0.175540381400587626E+04
    0.475406637381111885E+00   -0.132309026253542807E+02    0.625774191759655185E+01    0.175549216468255486E+04
    0.519252303299528872E+00   -0.129933375003776295E+02    0.395482802117719778E+01    0.175549656584396439E+04
    0.451673472630352180E+00   -0.136521062590487006E+02    0.675272644386459930E+01    0.175550514328765803E+04
    0.396664884184545485E+00   -0.131315631019794221E+02    0.402758343613728265E+01    0.175551142084558455E+04
    0.518509668852343175E+00   -0.134046763602750829E+02    0.436459550386366857E+01    0.175554126408079128E+04
    0.430384586530679236E+00   -0.132666022463323365E+02    0.592452380398463418E+01    0.175556659384334671E+04
    0.464572088468371280E+00   -0.129104260337809258E+02    0.408593664460778605E+01    0.175559270243975061E+04
    0.399458632247104317E+00   -0.132188670722369181E+02    0.447992283545087222E+01    0.175559271017937590E+04
    0.415496605533534513E+00   -0.132666587836155951E+02    0.543134648143456822E+01    0.175565920902608468E+04
    0.505138122279952695E+00   -0.135030870338767155E+02    0.491691729165945990E+01    0.175571158534510460E+04
    0.466512067137101916E+00   -0.134590446302188891E+02    0.694856829291595357E+01    0.175572469407902054E+04
    0.507739130327190979E+00   -0.133316128218420999E+02    0.621120854034805525E+01    0.175572713528854888E+04
    0.466213193743790999E+00   -0.132328981453642847E+02    0.616473827344180147E+01    0.175573783130111815E+04
    0.514597816226236571E+00   -0.135263646023315349E+02    0.643603892104206743E+01    0.175574399549117379E+04
    0.437490908536251277E+00   -0.134104118685849389E+02    0.432067880064486154E+01    0.175575740495844752E+04
    0.524707045035516462E+00   -0.134947363239395557E+02    0.562423250271620123E+01    0.175577915547904104E+04
    0.485507062487768870E+00   -0.130100139582316068E+02    0.296987366905122885E+01    0.175577916342031131E+04
    0.492988198075966944E+00   -0.133750494441021086E+02    0.400205107121911929E+01    0.175579632389810672E+04
    0.413008196850890519E+00   -0.133728548310270661E+02    0.494623442920728618E+01    0.175581305138716607E+04
    0.431683420560859732E+00   -0.134829019789946809E+02    0.620393479524835367E+01    0.175581403506116089E+04
    0.530913016431026064E+00   -0.133950043666826897E+02    0.550227196034462018E+01    0.175582090908260716E+04
    0.415819794585156277E+00   -0.132140146675940855E+02    0.524305911737266417E+01    0.175582379131004677E+04
