    0.110000000000000000E+02    0.440538644863337581E+01   -0.646062329183428741E+01
    0.110000000000000000E+02    0.451113971026830995E+01   -0.608607306063334619E+01
    0.110000000000000000E+02    0.460816514870857041E+01   -0.575227182921757674E+01
    0.110000000000000000E+02    0.463977622293156777E+01   -0.564555191598802075E+01
    0.110000000000000000E+02    0.468089743276201897E+01   -0.550822092592287849E+01
    0.110000000000000000E+02    0.481066353050712703E+01   -0.508593355781863199E+01
    0.110000000000000000E+02    0.483929855596683733E+01   -0.499501680915665958E+01
    0.110000000000000000E+02    0.488660514354705811E+01   -0.484661376609381733E+01
    0.110000000000000000E+02    0.490066308396137540E+01   -0.480294465955990635E+01
    0.110000000000000000E+02    0.491675842282485576E+01   -0.475318931161073532E+01
    0.110000000000000000E+02    0.499915045774661149E+01   -0.450254898762118572E+01
    0.110000000000000000E+02    0.501158210989106845E+01   -0.446532074296155912E+01
    0.110000000000000000E+02    0.504975438117980957E+01   -0.435197460568386418E+01
    0.110000000000000000E+02    0.505281644443254052E+01   -0.434294545510362617E+01
    0.110000000000000000E+02    0.506777958978834420E+01   -0.429895826703090567E+01
    0.110000000000000000E+02    0.507252121737705064E+01   -0.428506601135377263E+01
    0.110000000000000000E+02    0.507304132976627642E+01   -0.428354352862818377E+01
    0.110000000000000000E+02    0.520260383195869203E+01   -0.391271266048609689E+01
    0.110000000000000000E+02    0.522317860251227550E+01   -0.385536853677283942E+01
    0.110000000000000000E+02    0.523490205514727691E+01   -0.382288332231437655E+01
    0.110000000000000000E+02    0.524659797530194094E+01   -0.379061135480568545E+01
    0.110000000000000000E+02    0.526038765907287598E+01   -0.375273788928009822E+01
    0.110000000000000000E+02    0.527658309419168958E+01   -0.370849982142125567E+01
    0.110000000000000000E+02    0.529113709926605225E+01   -0.366896910748636884E+01
    0.110000000000000000E+02    0.529589588403473055E+01   -0.365608953499015588E+01
    0.110000000000000000E+02    0.530252405174168118E+01   -0.363818824571605814E+01
    0.110000000000000000E+02    0.531007877033514220E+01   -0.361783811090085017E+01
    0.110000000000000000E+02    0.531484250265567582E+01   -0.360503539277221696E+01
    0.110000000000000000E+02    0.531960190523234200E+01   -0.359226697321704558E+01
    0.110000000000000000E+02    0.532237308936710463E+01   -0.358484293627273187E+01
    0.110000000000000000E+02    0.532802067912245914E+01   -0.356973674559860221E+01
    0.110000000000000000E+02    0.534638558583122858E+01   -0.352083472954213583E+01
    0.110000000000000000E+02    0.535129718593470471E+01   -0.350781329861870717E+01
    0.110000000000000000E+02    0.539386000016334410E+01   -0.339598284937430250E+01
    0.110000000000000000E+02    0.539680456811912990E+01   -0.338831322828271508E+01
    0.110000000000000000E+02    0.541517019271850586E+01   -0.334067256630544307E+01
    0.110000000000000000E+02    0.541816467816206604E+01   -0.333293681454499380E+01
    0.110000000000000000E+02    0.542719662189483643E+01   -0.330965861119467064E+01
    0.110000000000000000E+02    0.543929360755575964E+01   -0.327860861415239802E+01
    0.110000000000000000E+02    0.544370272079783479E+01   -0.326732788982819633E+01
    0.110000000000000000E+02    0.544676303863525391E+01   -0.325950949043954097E+01
    0.110000000000000000E+02    0.545388868067212051E+01   -0.324134142520477742E+01
    0.110000000000000000E+02    0.546397617480275599E+01   -0.321570842098403098E+01
    0.110000000000000000E+02    0.546818077564239502E+01   -0.320505429241337225E+01
