    0.800000000000000000E+01    0.998850703239440918E+01   -0.818851363680962834E+02   -0.760090241787552312E+01    1
    0.100000000000000000E+02    0.998102486133575439E+01   -0.818104286413012005E+02   -0.760140241787544646E+01    1
    0.130000000000000000E+02    0.997436523437500000E+01   -0.817439809143543243E+02   -0.760190241787540621E+01    1
    0.100000000000000000E+02    0.997403621673583984E+01   -0.817406992263790926E+02   -0.760240241787539794E+01    1
    0.120000000000000000E+02    0.997244238853454590E+01   -0.817248035963202994E+02   -0.760290241787547671E+01    1
    0.120000000000000000E+02    0.997161269187927246E+01   -0.817165298384238952E+02   -0.760340241787553950E+01    1
    0.900000000000000000E+01    0.996317088603973389E+01   -0.816323870522148809E+02   -0.760390241787554544E+01    1
    0.100000000000000000E+02    0.995604693889617920E+01   -0.815614353247519830E+02   -0.760440241787551496E+01    1
    0.140000000000000000E+02    0.994597136974334717E+01   -0.814611732438771696E+02   -0.760490241787542143E+01    1
    0.900000000000000000E+01    0.994252383708953857E+01   -0.814268901255468336E+02   -0.760540241787541049E+01    1
    0.100000000000000000E+02    0.993913590908050537E+01   -0.813932113095867749E+02   -0.760590241787546884E+01    1
    0.130000000000000000E+02    0.993744432926177979E+01   -0.813763998985885451E+02   -0.760640241787542148E+01    1
    0.120000000000000000E+02    0.993063211441040039E+01   -0.813087270958795898E+02   -0.760690241787538035E+01    1
    0.140000000000000000E+02    0.992446124553680420E+01   -0.812474655070809604E+02   -0.760740241787540672E+01    1
    0.120000000000000000E+02    0.992357850074768066E+01   -0.812387051302507928E+02   -0.760790241787540200E+01    1
    0.140000000000000000E+02    0.991748750209808350E+01   -0.811782791771358347E+02   -0.760840241787544080E+01    1
    0.120000000000000000E+02    0.991719186305999756E+01   -0.811753472243717056E+02   -0.760890241787543875E+01    1
    0.140000000000000000E+02    0.991717517375946045E+01   -0.811751817135154852E+02   -0.760940241787537186E+01    1
    0.800000000000000000E+01    0.991562366485595703E+01   -0.811597963315257402E+02   -0.760990241787539112E+01    1
    0.800000000000000000E+01    0.990382194519042969E+01   -0.810428445610177732E+02   -0.761040241787548677E+01    1
    0.100000000000000000E+02    0.989251852035522461E+01   -0.809309613377855612E+02   -0.761090241787548649E+01    1
    0.900000000000000000E+01    0.988997817039489746E+01   -0.809058341054438017E+02   -0.761140241787539296E+01    1
    0.140000000000000000E+02    0.988732039928436279E+01   -0.808795523390523385E+02   -0.761190241787538380E+01    1
