9.738963842391967773e+00 2.000000000000000000e+00
9.767240144345194608e+00 0.000000000000000000e+00
9.795516446298423219e+00 7.000000000000000000e+00
9.823792748251650053e+00 7.000000000000000000e+00
9.852069050204878664e+00 8.000000000000000000e+00
9.880345352158105499e+00 7.000000000000000000e+00
9.908621654111334109e+00 1.500000000000000000e+01
9.936897956064560944e+00 2.600000000000000000e+01
9.965174258017789555e+00 2.700000000000000000e+01
9.993450559971016389e+00 3.200000000000000000e+01
1.002172686192424500e+01 4.100000000000000000e+01
1.005000316387747183e+01 5.300000000000000000e+01
1.007827946583070045e+01 3.900000000000000000e+01
1.010655576778392728e+01 5.400000000000000000e+01
1.013483206973715589e+01 6.700000000000000000e+01
1.016310837169038273e+01 5.100000000000000000e+01
1.019138467364360956e+01 5.600000000000000000e+01
1.021966097559683817e+01 7.400000000000000000e+01
1.024793727755006501e+01 4.900000000000000000e+01
1.027621357950329362e+01 4.100000000000000000e+01
1.030448988145652045e+01 3.400000000000000000e+01
1.033276618340974906e+01 2.700000000000000000e+01
1.036104248536297590e+01 2.600000000000000000e+01
1.038931878731620451e+01 2.000000000000000000e+01
1.041759508926943134e+01 1.700000000000000000e+01
1.044587139122265995e+01 1.100000000000000000e+01
1.047414769317588679e+01 4.000000000000000000e+00
1.050242399512911540e+01 2.000000000000000000e+00
1.053070029708234223e+01 2.000000000000000000e+00
1.055897659903557084e+01 2.000000000000000000e+00
