   -0.137584924697875977E+01   -0.267641901969909668E+01   -0.110873305797576904E+02   -0.185625433921813965E+01   -0.458413958549499512E+01   -0.242480039596557617E+00   -0.206187844276428223E+01   -0.928625226020812988E+01   -0.203567385673522949E+01    0.355022576408758641E+04   -0.621460743175560815E+01    1
   -0.752386927604675293E+01   -0.432157516479492188E-01   -0.574522972106933594E+01   -0.267453193664550781E+01   -0.545945763587951660E+01   -0.425140976905822754E+01   -0.554959416389465332E+01   -0.668551921844482422E+00   -0.764113783836364746E+01    0.355226418161258744E+04   -0.621660743175561681E+01    1
   -0.695405960083007812E+01   -0.431512236595153809E+01   -0.748782634735107422E+01   -0.144322097301483154E+02   -0.145041584968566895E+01   -0.555324196815490723E+01   -0.144030332565307617E+01   -0.763114690780639648E+00   -0.435753107070922852E+01    0.356203485076875586E+04   -0.621860743175561392E+01    1
    0.390497446060180664E+01   -0.580310821533203125E-02   -0.215549468994140625E+00   -0.933939218521118164E+00   -0.134220123291015625E+02   -0.370381116867065430E+01   -0.185545992851257324E+02   -0.176446735858917236E+02   -0.241803169250488281E+01    0.356215412657990328E+04   -0.622060743175561814E+01    1
   -0.881044149398803711E+01   -0.174509441852569580E+02   -0.188544237613677979E+02   -0.500249862670898438E+00   -0.580264925956726074E+01   -0.599082350730895996E+01   -0.111990213394165039E+01   -0.138608956336975098E+02   -0.249613523483276367E+00    0.356294274317563577E+04   -0.622260743175562414E+01    1
   -0.936281442642211914E+01   -0.663115739822387695E+01   -0.197577476501464844E+00   -0.140890550613403320E+02   -0.234560966491699219E+01   -0.333806276321411133E+01   -0.894449234008789062E+01   -0.995529890060424805E+00   -0.596334695816040039E+01    0.356397672941318115E+04   -0.622460743175562925E+01    1
    0.972639322280883789E+01   -0.170187211036682129E+02   -0.182883954048156738E+02   -0.556656479835510254E+01   -0.264689803123474121E+01   -0.958082675933837891E+00   -0.146679401397705078E+01   -0.185740351676940918E+02   -0.168481063842773438E+02    0.356845833523457486E+04   -0.622660743175562548E+01    1
    0.457207560539245605E+01   -0.197494363784790039E+02   -0.400340557098388672E+00   -0.104711890220642090E+01   -0.171063935756683350E+02   -0.117196488380432129E+02   -0.732344388961791992E+00   -0.624347090721130371E+01   -0.250780940055847168E+01    0.357083547944346537E+04   -0.622860743175562526E+01    1
    0.500545859336853027E+01   -0.351304054260253906E+01   -0.156386995315551758E+02   -0.261495351791381836E+01   -0.181795608997344971E+02   -0.159027814865112305E+01   -0.136842250823974609E+01   -0.115478873252868652E+01   -0.113908481597900391E+02    0.357221945749398992E+04   -0.623060743175562948E+01    1
    0.913725614547729492E+01   -0.176955544948577881E+02   -0.946319222450256348E+01   -0.228852510452270508E+01   -0.196667706966400146E+02   -0.463552355766296387E+01   -0.436694025993347168E+01   -0.132164478302001953E+01   -0.779827237129211426E+01    0.357360910970517989E+04   -0.623260743175562393E+01    1
