   -0.126968955993652344E+02   -0.176882839202880859E+02   -0.165173172950744629E+02   -0.929202079772949219E+01   -0.157376563549041748E+02   -0.679775834083557129E+01   -0.107449543476104736E+02   -0.109052014350891113E+02    0.371280384718881442E+04
   -0.690375441151148728E+01   -0.114954683887609175E+02   -0.100969525443737247E+02   -0.929608592026729852E+01   -0.997435167538500167E+01   -0.168294829183861481E+02   -0.156473841480623825E+02   -0.820989327481072806E+01    0.371364770792789659E+04
   -0.161027014255523682E+02   -0.177256786823272705E+02   -0.151182126998901367E+02   -0.143975377082824707E+02   -0.102057969570159912E+02   -0.848119258880615234E+01   -0.753088712692260742E+01   -0.776735186576843262E+01    0.371496113820093615E+04
   -0.163538966200259175E+02   -0.159449306450379922E+02   -0.122295525108078564E+02   -0.757960664555312569E+01   -0.105742686283757390E+02   -0.102063233872885668E+02   -0.150701404361252749E+02   -0.143766946026048625E+02    0.371509648698771161E+04
   -0.131038207153717892E+02   -0.788437118580910301E+01   -0.102474554908840432E+02   -0.168963178529589051E+02   -0.148866134767582388E+02   -0.119562106508201396E+02   -0.110635920302147870E+02   -0.117246170353781540E+02    0.371523149709006339E+04
   -0.185887551307678223E+02   -0.167530846595764160E+02   -0.189651024341583252E+02   -0.139961326122283936E+02   -0.122608244419097900E+02   -0.122864961624145508E+02   -0.782742381095886230E+01   -0.100681209564208984E+02    0.371552126274258217E+04
   -0.745344758033752441E+01   -0.185803484916687012E+02   -0.178037893772125244E+02   -0.100458896160125732E+02   -0.123070275783538818E+02   -0.145963394641876221E+02   -0.145850396156311035E+02   -0.197677028179168701E+02    0.371565771828842435E+04
   -0.183432308680451186E+02   -0.802412950593575580E+01   -0.164725476148612273E+02   -0.156646930307316126E+02   -0.915118241071455785E+01   -0.177805287627221738E+02   -0.119353595051813492E+02   -0.190409881574505278E+02    0.371577526371036674E+04
   -0.972075331036553436E+01   -0.191444689134913588E+02   -0.198786935606330850E+02   -0.776719107350304938E+01   -0.149088896942476694E+02   -0.109224951212958903E+02   -0.107740089328258488E+02   -0.183718737796850000E+02    0.371594697558320786E+04
   -0.187896227836608887E+02   -0.147273766994476318E+02   -0.180590307712554932E+02   -0.110111224651336670E+02   -0.805235266685485840E+01   -0.150927865505218506E+02   -0.172767889499664307E+02   -0.826345562934875488E+01    0.371603498929743455E+04
   -0.750339946537229707E+01   -0.144626125984118481E+02   -0.118644317991449437E+02   -0.923498922170141157E+01   -0.199110435534480352E+02   -0.134902245606183282E+02   -0.188393568155117563E+02   -0.986720888696709864E+01    0.371608658769697195E+04
   -0.179255247116088867E+02   -0.899965047836303711E+01   -0.171449255943298340E+02   -0.149550735950469971E+02   -0.188647222518920898E+02   -0.842324376106262207E+01   -0.152121627330780029E+02   -0.670508027076721191E+01    0.371627667018192642E+04
   -0.753418348209530642E+01   -0.123416795971450863E+02   -0.184572941200193235E+02   -0.129138181145821065E+02   -0.169934729432114580E+02   -0.190110315011175395E+02   -0.905968647396593774E+01   -0.192822115070682578E+02    0.371628640264210344E+04
   -0.160286045074462891E+02   -0.813541531562805176E+01   -0.125270414352416992E+02   -0.154651725292205811E+02   -0.163005781173706055E+02   -0.115339958667755127E+02   -0.198919713497161865E+02   -0.185253250598907471E+02    0.371636050110888391E+04
   -0.144023108679151264E+02   -0.121629323347314191E+02   -0.121389851997516782E+02   -0.852135340318005241E+01   -0.191107318604336811E+02   -0.113500795329764497E+02   -0.809552473023403429E+01   -0.147834151986477220E+02    0.371637542133091256E+04
   -0.186430074254204108E+02   -0.815733252763912553E+01   -0.104415538118119535E+02   -0.191183123144055607E+02   -0.154741721154290488E+02   -0.159572183524500133E+02   -0.115782960420994847E+02   -0.172724986261634825E+02    0.371645778844463666E+04
   -0.154818027902564008E+02   -0.828373538159022083E+01   -0.141587926301492590E+02   -0.114032215258904461E+02   -0.881691236677954038E+01   -0.195103902199929280E+02   -0.170606400542712571E+02   -0.124236922499783127E+02    0.371645810275300209E+04
